leaf_area_px,isolation,coverage,hue_mean,hue_std,sat_mean,sat_std,val_mean,val_std,lab_a_mean,lab_b_mean,lab_a_std,lab_b_std,hue_below_med_frac,hue_iqr,val_iqr,sat_iqr,dark_rel_30,dark_rel_50,dark_rel_70,desat_rel_40,lesion_n_k9_c25,lesion_dens_k9_c25,lesion_n_k9_c40,lesion_dens_k9_c40,lesion_n_k15_c25,lesion_dens_k15_c25,lesion_n_k15_c40,lesion_dens_k15_c40,lesion_n_k25_c25,lesion_dens_k25_c25,lesion_n_k25_c40,lesion_dens_k25_c40,lap_var,edge_density,solidity,perim_area_ratio,sample_id,image_name,annotated
56375,0.4749408166875879,0.2867380777994792,40.7670783996582,13.505766868591309,134.9456787109375,42.26412582397461,89.32963562011719,38.31432342529297,116.30705261230469,149.77784729003906,4.849063873291016,9.04585075378418,0.10706873614190687,5.0,37.0,55.0,0.05154767184035477,0.00010643015521064301,0.0,0.22607538802660754,26,0.01447450110864745,11,0.0038137472283813747,51,0.05275388026607539,26,0.02297117516629712,12,0.02302439024390244,14,0.02327272727272727,10028.373046875,0.1109179600886918,0.5254891012563084,11.712391272998072,id14,20260328_102311.jpg,yes
79338,0.7002347707895712,0.403533935546875,40.831302642822266,14.749030113220215,138.72323608398438,47.33702087402344,94.87284851074219,41.60728454589844,116.2767562866211,151.54302978515625,5.407026290893555,11.536012649536133,0.14811313620207214,9.0,50.0,70.0,0.14709218785449596,0.007902896468274976,6.302150293680203e-05,0.2727066475081298,108,0.046648516473820865,59,0.0222213819355164,99,0.09488517482164914,88,0.06292066853210315,31,0.046572890670296706,77,0.1106909677581991,11608.89453125,0.17695177594595277,0.678089551787025,10.53374695417009,id14,20260328_102316.jpg,yes
56394,0.5638272345530894,0.286834716796875,42.7339973449707,15.334464073181152,116.0850830078125,47.04291915893555,95.06214904785156,36.73289108276367,117.65336608886719,148.85658264160156,4.338731288909912,12.828818321228027,0.28893144660779513,18.0,42.0,58.0,0.14937759336099585,0.01344114622122921,0.0,0.15476823775578963,123,0.08710146469482569,79,0.038674327056069796,92,0.10822073270206051,117,0.11267156080434089,47,0.10540128382452034,73,0.12050927403624499,18218.576171875,0.22087456112352377,0.5376778859907176,12.834123850911668,id15,20260328_102959_HDR.jpg,no
60065,0.8618636285369914,0.3055063883463542,43.74735641479492,18.876089096069336,104.7619400024414,43.90711975097656,101.34607696533203,40.927459716796875,118.4389877319336,145.83168029785156,5.505990982055664,12.353525161743164,0.29854324481811373,21.0,43.0,50.0,0.11427620078248564,0.0035295096978273537,0.0,0.06093398817947224,69,0.037625905269291604,45,0.017564305335886123,86,0.10445350869890951,64,0.06592857737451095,45,0.10650129026887538,65,0.1275118621493382,12290.3994140625,0.15569799384000665,0.5607164276756993,12.852856558171673,id15,20260328_103001_HDR.jpg,no
41052,0.791867597700706,0.20880126953125,47.86246871948242,18.5947265625,90.54104614257812,33.73029708862305,104.0228500366211,45.057838439941406,117.33940124511719,142.54360961914062,5.069972515106201,9.721443176269531,0.2535321056221378,23.0,42.0,37.0,0.018610542726298352,2.4359349118191562e-05,0.0,0.03120432622040339,27,0.02528500438468284,13,0.007259086037221085,55,0.08179869433888727,31,0.05193413231998441,31,0.08742570398518952,29,0.06628178895059925,10647.7734375,0.12340446263275845,0.555484640785859,13.117815373732627,id15,20260328_103003_HDR.jpg,no
46306,0.8398505513639002,0.23552449544270834,48.50593948364258,18.609643936157227,89.74163055419922,31.118101119995117,101.81440734863281,45.97895050048828,117.19349670410156,141.71592712402344,5.376624584197998,8.856849670410156,0.266228998401935,24.0,45.0,31.0,0.011229646266142616,0.0,0.0,0.0233447069494234,34,0.021789832851034422,15,0.007342461020170173,35,0.03815920183129616,31,0.03394808448149268,43,0.07044443484645618,32,0.05180754113937719,8722.919921875,0.11095754329892454,0.6275563327637762,11.627674727750682,id15,20260328_103005_HDR.jpg,no
29624,0.7554444841128168,0.15067545572916666,36.86919403076172,11.4126558303833,100.81018829345703,46.795963287353516,98.91260528564453,33.58011245727539,120.65365600585938,148.5586395263672,3.1521449089050293,14.078975677490234,0.2293748312179314,11.0,31.0,43.0,0.010667026735079665,0.0,0.0,0.04303942749122333,18,0.02913178503915744,13,0.01714825816905212,24,0.07055090467188765,24,0.051174723197407505,16,0.0991425870915474,23,0.06214555765595463,11735.9453125,0.14086551444774506,0.40051460038314485,19.77802076335462,id15,20260328_103007_HDR.jpg,no
37885,0.7583977259078352,0.19269307454427084,34.92638397216797,9.903008460998535,104.40369415283203,36.22673416137695,100.2341537475586,29.82854461669922,120.11561584472656,149.59317016601562,2.970168113708496,9.866032600402832,0.06329681932163125,8.0,33.0,42.0,0.03244027979411376,0.00036953939553913156,0.0,0.08150983238748845,39,0.03238748845189389,23,0.01443843209713607,54,0.09373102811138974,36,0.061924244423914476,33,0.09512999868021645,42,0.0918305397914742,13860.3291015625,0.15887554441071663,0.5188363893667118,14.821070625322479,id15,20260328_103014_HDR.jpg,no
75275,0.6857707689925023,0.3828684488932292,28.099594116210938,4.00875186920166,117.33815002441406,35.39888000488281,122.95177459716797,44.36924743652344,121.72227478027344,155.13531494140625,3.809467315673828,9.607513427734375,0.007625373630023248,3.0,68.0,47.0,0.26320823646629027,0.14331451345068083,0.054971770176021256,0.11832613749584855,280,0.16775821986051145,253,0.09590169378943872,121,0.1722749916971106,221,0.16326801727000997,54,0.07446031218864164,140,0.1603852540684158,31643.1953125,0.30547990700763866,0.7159517495352147,8.955828891859731,id16,20260328_103202_HDR.jpg,yes
56391,0.6984876072981309,0.2868194580078125,28.5827693939209,5.068912982940674,128.32742309570312,38.509395599365234,108.74559783935547,39.846343994140625,121.7937240600586,154.9038543701172,3.288891553878784,9.283272743225098,0.017786526218722846,3.0,58.0,50.0,0.2143604475891543,0.0743735702505719,0.010267595892961643,0.15905020304658546,141,0.08024330123601284,87,0.03362238655104538,75,0.12055115177953929,107,0.10240995903601638,38,0.05387384511712862,73,0.10008689329857601,19157.169921875,0.25138763277828025,0.5431206136771667,12.710435986097867,id16,20260328_103204_HDR.jpg,yes
